"Statistic Label","Month","Type of Loan","UNIT","VALUE"
"Outstanding amount of loans and securitisations","2015M02","Loans to non-financial corporations, including securitisations","Euro Million","57688"
"Outstanding amount of loans and securitisations","2015M03","Loans to households, including securitisations","Euro Million","131755"
"Outstanding amount of loans and securitisations","2015M03","Loans to non-financial corporations, including securitisations","Euro Million","55410"
"Outstanding amount of loans and securitisations","2015M04","Loans to households, including securitisations","Euro Million","131280"
"Outstanding amount of loans and securitisations","2015M04","Loans to non-financial corporations, including securitisations","Euro Million","54716"
"Outstanding amount of loans and securitisations","2015M05","Loans to households, including securitisations","Euro Million","130695"
"Outstanding amount of loans and securitisations","2015M05","Loans to non-financial corporations, including securitisations","Euro Million","54468"
"Outstanding amount of loans and securitisations","2015M06","Loans to households, including securitisations","Euro Million","130113"
"Outstanding amount of loans and securitisations","2015M06","Loans to non-financial corporations, including securitisations","Euro Million","52704"
"Outstanding amount of loans and securitisations","2015M07","Loans to households, including securitisations","Euro Million","129575"
"Outstanding amount of loans and securitisations","2015M07","Loans to non-financial corporations, including securitisations","Euro Million","52277"
"Outstanding amount of loans and securitisations","2015M08","Loans to households, including securitisations","Euro Million","129138"
"Outstanding amount of loans and securitisations","2015M08","Loans to non-financial corporations, including securitisations","Euro Million","52015"
"Outstanding amount of loans and securitisations","2015M09","Loans to households, including securitisations","Euro Million","127940"
"Outstanding amount of loans and securitisations","2015M09","Loans to non-financial corporations, including securitisations","Euro Million","50521"
"Outstanding amount of loans and securitisations","2015M10","Loans to households, including securitisations","Euro Million","127476"
"Outstanding amount of loans and securitisations","2015M10","Loans to non-financial corporations, including securitisations","Euro Million","50018"
"Outstanding amount of loans and securitisations","2015M11","Loans to households, including securitisations","Euro Million","127079"
"Outstanding amount of loans and securitisations","2015M11","Loans to non-financial corporations, including securitisations","Euro Million","50196"
"Outstanding amount of loans and securitisations","2015M12","Loans to households, including securitisations","Euro Million","126317"
"Outstanding amount of loans and securitisations","2015M12","Loans to non-financial corporations, including securitisations","Euro Million","46819"
"Outstanding amount of loans and securitisations","2016M01","Loans to households, including securitisations","Euro Million","125780"
"Outstanding amount of loans and securitisations","2016M01","Loans to non-financial corporations, including securitisations","Euro Million","46349"
"Outstanding amount of loans and securitisations","2016M02","Loans to households, including securitisations","Euro Million","125218"
"Outstanding amount of loans and securitisations","2016M02","Loans to non-financial corporations, including securitisations","Euro Million","46166"
